field,dtype
ID_rec,int
ID_site,int
ID_xml,str
rec_fl_adu,str
rec_fl_joblist,str
rec_fl_num_test_jobs,float
rec_fl_note,str
rec_fl_operator,str
rec_fl_rec_start,datetime64[ms]
rec_fl_ex_n,float
rec_fl_ex_s,float
rec_fl_ey_e,float
rec_fl_ey_w,float
rec_qc_date,datetime64[ms]
rec_qc_note,str
rec_qc_qcby,str
rec_qc_status,str
rec_qc_exception,float
rec_x,float
rec_y,float
rec_x0,float
rec_y0,float
edi_x,float
edi_y,float
xml_rec_start,datetime64[ms]
xml_rec_end,datetime64[ms]
rec_xml_num_of_jobs,float
rec_mag_dec,float
rec_qc_check_msg,str